bank,hito_code,source_order,easting_m,northing_m,epsg
LEFT,HMI-47,47,301220.0000,8679390.7950,32718
LEFT,HMI-48,48,301197.0000,8679606.7950,32718
LEFT,HMI-49,49,301179.0000,8679795.7950,32718
LEFT,HMI-50,50,301208.0000,8679875.7950,32718
LEFT,HMI-51,51,301417.0000,8680004.7950,32718
LEFT,HMI-52,52,301561.0000,8680308.7950,32718
LEFT,HMI-53,53,301691.0000,8680537.7950,32718
LEFT,HMI-54,54,301818.0000,8680649.7950,32718
LEFT,HMI-55,55,301929.0000,8680712.7950,32718
LEFT,HMI-56,56,302085.0000,8680783.7950,32718
LEFT,HMI-57,57,302219.0000,8680881.7950,32718
LEFT,HMI-58,58,302301.0000,8680813.7950,32718
LEFT,HMI-59,59,302434.0000,8680702.7950,32718
LEFT,HMI-60,60,302598.0000,8680678.7950,32718
LEFT,HMI-61,61,302834.0000,8680735.7950,32718
LEFT,HMI-62,62,303100.2724,8680789.4601,32718
LEFT,HMI-63,63,303364.5917,8680701.3537,32718
LEFT,HMI-64,64,303576.5234,8680679.1286,32718
LEFT,HMI-65,65,303691.0000,8680698.7950,32718
LEFT,HMI-66,66,303863.7009,8680635.2372,32718
LEFT,HMI-67,67,304051.1868,8680575.9409,32718
LEFT,HMI-68,68,304217.0809,8680606.8972,32718
LEFT,HMI-69,69,304388.0000,8680655.7950,32718
LEFT,HMI-70,70,304568.0000,8680672.7950,32718
LEFT,HMI-71,71,304745.7195,8680762.4725,32718
LEFT,HMI-72,72,304867.1635,8680841.8477,32718
LEFT,HMI-73,73,304992.0000,8680936.7950,32718
LEFT,HMI-74,74,305093.0000,8681058.7950,32718
LEFT,HMI-75,75,305134.0000,8681238.7950,32718
LEFT,HMI-76,76,305241.0205,8681414.1426,32718
LEFT,HMI-77,77,305424.3771,8681579.2429,32718
LEFT,HMI-78,78,305587.0962,8681743.5495,32718
LEFT,HMI-79,79,305726.7964,8681818.9559,32718
LEFT,HMI-80,80,305846.6529,8681886.4248,32718
LEFT,HMI-81,81,305958.0000,8681989.7950,32718
